magnitude,location,style,percentile,model_number,lambda,mu_site,sigma_site,mu_complement,sigma_complement,Y_site,Y_complement,Y_folded,displ_site,displ_complement,displ_folded,normalized_displ_site,normalized_displ_complement,normalized_displ_folded
7.0,0.0,reverse,-1.0,-1,0.117784836,-0.5738775790372093,0.8177009516670714,-0.5738775790372093,1.0223602733874462,-0.2967709634945963,-0.16704814445792573,-0.231909553976261,0.739277495869185,0.8447509556106779,0.7904635014157689,0.4767548940005857,0.544773991565309,0.5196214956289308
7.0,0.01,reverse,-1.0,-1,0.117784836,0.18088269639789123,0.8167719898040169,-0.5327299288541312,1.017041104173225,0.4384441433103128,-0.13083829577260542,0.15380292376885368,1.5334166127445545,0.8764663787249182,1.1646567438811577,0.9888896642366195,0.5652270464323935,0.7656023055662048
7.0,0.02,reverse,-1.0,-1,0.117784836,0.26127616031386425,0.8159013037776549,-0.5028085921114868,1.0117956631776048,0.5164563108206155,-0.10539819270416338,0.20552905905822605,1.6509607916571474,0.8993725900170548,1.225171394658798,1.064693084293349,0.5799991021185984,0.8053824007739159
7.0,0.03,reverse,-1.0,-1,0.117784836,0.3091964749660939,0.815088771422067,-0.4761050804380275,1.006623748314862,0.5628067857271906,-0.082998315649475,0.23990423503885777,1.7245014489264119,0.9199769417087175,1.2669054412580774,1.1121189405611904,0.5932867046245559,0.832816820799286
7.0,0.04,reverse,-1.0,-1,0.117784836,0.3426160236542338,0.8143342780585602,-0.4513316799197376,1.0015251537302365,0.595033481575612,-0.062396917992840195,0.2663182817913859,1.7773216197463875,0.93929344750119,1.2998211221393374,1.1461822998289617,0.6057437843043918,0.8544543730689749
7.0,0.05,reverse,-1.0,-1,0.117784836,0.36759359253288293,0.813637716614941,-0.4279253964269391,0.996499669853798,0.6190496308729488,-0.04305159048371056,0.28799902019461915,1.8176075592850174,0.957757069158962,1.3273998263973164,1.1721624208819799,0.617650844962269,0.8725835941251934
7.0,0.06,reverse,-1.0,-1,0.117784836,0.3869654055141474,0.8129989877371837,-0.4055728353162438,0.9915470834596665,0.6376235954027831,-0.02466072714301422,0.30648143412988443,1.8493147616045693,0.9756058540869816,1.3513164196767211,1.1926101742159836,0.629161401707125,0.8883054787510295
7.0,0.07,reverse,-1.0,-1,0.117784836,0.4023043090841254,0.8124179998933091,-0.38407576360461027,0.9866671777306721,0.6522906991617532,-0.007033803421890701,0.3226284478699312,1.8746964259501406,0.992987981037385,1.372521268417608,1.20897863228788,0.6403710139813373,0.9022447627250397
7.0,0.08,reverse,-1.0,-1,0.117784836,0.414579997709974,0.811894669469305,-0.36329827145369087,0.9818597323285115,0.663997557978641,0.009959600751688039,0.3369785793651645,1.895175374588861,1.0100034670424205,1.3916121934935584,1.222185363240805,0.6513441820704884,0.9147944313980876
7.0,0.09,reverse,-1.0,-1,0.117784836,0.42443564285594937,0.8114289208569343,-0.34314183495110184,0.9771245234694617,0.673372068442908,0.026413856128648106,0.34989296228577804,1.9117163540819124,1.0267236935041153,1.4089929306916404,1.2328525253943126,0.6621269393422201,0.9262198857572389
7.0,0.1,reverse,-1.0,-1,0.117784836,0.4323213646091484,0.811020686533284,-0.3235320470372412,0.9724613240057023,0.6808536837618042,0.042400082150463904,0.36162688295613404,1.9250086396842958,1.0432017174218615,1.4249507114699402,1.2414246275464809,0.6727535018848926,0.9367099411489012
7.0,0.11,reverse,-1.0,-1,0.117784836,0.4385654129174885,0.810669907131928,-0.30441092566544614,0.9678699035122832,0.6867628943278028,0.05797356481765911,0.37236822957273097,1.9355648607446585,1.0594782052563694,1.439698185479297,1.248232260784069,0.6832500952150049,0.9464043855954387
7.0,0.12,reverse,-1.0,-1,0.117784836,0.44341509376009824,0.8103765315055869,-0.2857321575932721,0.963350028379768,0.6913411779033406,0.07317834299273147,0.38225976044803606,1.9437785896026942,1.0755850762909054,1.4533978170291346,1.2535292371602513,0.6936373038554126,0.9554100171302813
7.0,0.13,reverse,-1.0,-1,0.117784836,0.44706172388135057,0.8101405167801814,-0.26745800487872845,0.9589014619125763,0.6947753602303174,0.08805019111870821,0.3914127756745128,1.949959897040806,1.0915478560117275,1.4661769285708677,1.2575155191570775,0.7039315890139343,0.9638105328280094
7.0,0.14,reverse,-1.0,-1,0.117784836,0.44965658346464754,0.8099618284001927,-0.24955720916849744,0.9545239644330299,0.6972131884608199,0.10261863972855344,0.3999159140946867,1.9543583492462868,1.1073872595881593,1.4781374190478722,1.260352050265772,0.7141463097585928,0.9716729172885005
7.0,0.15,reverse,-1.0,-1,0.117784836,0.4513215186715771,0.8098404401652534,-0.2320035235071624,0.9502172933911074,0.698773681975747,0.11690839087561858,0.40784103642568276,1.9571784625450084,1.123120293707072,1.4893622873239256,1.2621707216365552,0.7242924335829776,0.9790517308977232
7.0,0.16,reverse,-1.0,-1,0.117784836,0.452156221916753,0.8097763342579114,-0.21477465443477678,0.9459812034798922,0.6995542400214094,0.13094033798897742,0.4152472890051934,1.9585904282701707,1.1387610451027557,1.4999201538770466,1.2630812884715983,0.7343790449236509,0.9859920822221772
7.0,0.17,reverse,-1.0,-1,0.117784836,0.45224337152389027,0.8097695012625199,-0.19785148127297247,0.9418154467566927,0.6996356596201839,0.14473231850625903,0.42218398906322147,1.958737761416575,1.154321258465009,1.5098684817457468,1.2631763025887455,0.7444137178490395,0.9925317453399332
7.0,0.18,reverse,-1.0,-1,0.117784836,0.45165234793284803,0.8098199401752225,-0.18121746799868044,0.9377197727697995,0.6990857638364459,0.15829968086015822,0.4286927223483021,1.9577428853494834,1.1698107687071329,1.5192559254904607,1.2625347139612542,0.7544027948260444,0.9987027039610764
7.0,0.19,reverse,-1.0,-1,0.117784836,0.4504419771874548,0.8099276584050187,-0.16485821221098013,0.9336939286908352,0.6979620803996238,0.17165571932419385,0.43480889986190885,1.9557112939716603,1.185237830035557,1.5281240796426099,1.2612245548702516,0.7643515989347452,1.0045323007935099
7.0,0.2,reverse,-1.0,-1,0.117784836,0.4486625936867361,0.8100926717659049,-0.14876109378078944,0.9297376594526395,0.6963138557245094,0.18481201278403178,0.4405629342542706,1.9527347101047214,1.2006093703107203,1.5365088037505938,1.2593049767228095,0.7742645979039551,1.0100441085792244
7.0,0.21,reverse,-1.0,-1,0.117784836,0.4463576164280276,0.8103150044601086,-0.1329149973531274,0.9258507078926171,0.6941835939434388,0.19777869233449502,0.44598114313896686,1.9488935207404605,1.215931190287342,1.5444412426401481,1.2568278205285155,0.78414553259988,1.0152586007757556
7.0,0.22,reverse,-1.0,-1,0.117784836,0.44356477100623537,0.810594689052437,-0.11731009048603736,0.9220328149014718,0.691608250075511,0.21056465526064766,0.45108645266807934,1.9442586816683638,1.2312081214899708,1.551948623194148,1.2538388451804572,0.7939975188389583,1.0201936753297838
7.0,0.23,reverse,-1.0,-1,0.117784836,0.44031704933551974,0.8109317664357886,-0.101937644336002,0.9182837195772285,0.688620167118178,0.22317773801953594,0.45589895256885693,1.9388932262729468,1.2464441525673824,1.559054884542413,1.250378700468086,0.803823128872929,1.0248650689406233
7.0,0.24,reverse,-1.0,-1,0.117784836,0.4366434722457515,0.811326285787878,-0.08678988732332316,0.9146031593844406,0.6852478206696938,0.23562485744220713,0.4604363390559505,1.9328534746442807,1.2616425312890505,1.5657811822111756,1.246483706824151,0.8136244571656432,1.029286688469454
7.0,0.25,reverse,-1.0,-1,0.117784836,0.4325697018940913,0.8117783045192509,-0.0718598846793046,0.9109908703184629,0.6815164169112401,0.24791212699611942,0.46471427195367976,1.926190012729025,1.2768058474754413,1.5721462956192613,1.242186486772363,0.8234031738742327,1.0334708788122509
7.0,0.26,reverse,-1.0,-1,0.117784836,0.4281185383309365,0.8122878882126674,-0.057141438535929456,0.9074465870746611,0.6774483774753683,0.26004495325276916,0.4687466653640687,1.9189484928604736,1.2919361008247798,1.578166960541973,1.237516481183629,0.8331605685901167,1.0374286414492566
7.0,0.27,reverse,-1.0,-1,0.117784836,0.42331032569254157,0.8128551105539599,-0.04262900449158635,0.9039700432224134,0.6730637360706523,0.27202811647844627,0.4725459262745493,1.911170293989988,1.307034756639845,1.5838581426692595,1.232500375054693,0.8428975862768237,1.0411698142720127
7.0,0.28,reverse,-1.0,-1,0.117784836,0.4181632871567955,0.8134800532544721,-0.02831762152068218,0.9005609713837534,0.668380465546734,0.28386583836562423,0.47612315195617916,1.9028930705880391,1.32210279175653,1.58923326443817,1.2271624514905846,0.8526148568889991,1.0447032206946323
7.0,0.29,reverse,-1.0,-1,0.117784836,0.4126938032072358,0.8141628059652108,-0.014202852789752862,0.8972191034164837,0.6634147496012167,0.2955618392529386,0.47948829442707763,1.894151212366186,1.3371407324553712,1.5943043944449051,1.2215248881761114,0.8623127198212852,1.048036794166284
