magnitude,location,style,percentile,model_name,mu,sigma,alpha,beta,xd,d_xd,displ_without_aleatory,displ_with_aleatory,normalized_d_xd
7.0,0.0,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7753542846562733,0.3499377491111553,1.1261597469078675,0.6212634822474616,0.6996419259309018,0.7555753382257632,0.6082387129794716
7.0,0.01,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.738564199703604,0.3725404337773646,1.1261597469078675,0.6476854611073775,0.7293972949565897,0.7881487197252431,0.6341067558877537
7.0,0.02,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7090143485961617,0.3939869074731117,1.1261597469078675,0.6733292780305763,0.7582763293325709,0.819269008636686,0.6592129509997252
7.0,0.03,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.686051154724711,0.4140444681229347,1.1261597469078675,0.6981001535860529,0.7861722922788128,0.8497619739618121,0.6834645059321564
7.0,0.04,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6691164256901923,0.4325139062274724,1.1261597469078675,0.7219160652237017,0.8129928133010474,0.8802440674943236,0.7067811177351117
7.0,0.05,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6577313317400104,0.44923349185663364,1.1261597469078675,0.7447084347177124,0.8386606623618531,0.9056107740053527,0.7290956459231175
7.0,0.06,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.651482880889587,0.46408145156298425,1.1261597469078675,0.7664225725946585,0.8631142503776773,0.9316182705341282,0.750354547585829
7.0,0.07,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6500123949909489,0.4769769557774003,1.1261597469078675,0.7870178891577602,0.8863078668658673,0.9581481890907233,0.7705180839881763
7.0,0.08,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6530055890687683,0.48787970971495004,1.1261597469078675,0.8064678869520606,0.9082116714592553,0.9809194301435131,0.7895603131935083
7.0,0.09,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6601839342579217,0.49678829968445415,1.1261597469078675,0.8247599538634405,0.9288114609025966,1.0050405483841043,0.8074688875002795
7.0,0.1,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6712970472956017,0.5037374898874173,1.1261597469078675,0.8418949794609385,0.9481082369927347,1.0234767676342469,0.8242446778277418
7.0,0.11,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.68611590033216,0.508794691695018,1.1261597469078675,0.857886819671569,0.9661176037169295,1.0408148203183702,0.8399012496138376
7.0,0.12,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7044266866071345,0.512055838663284,1.1261597469078675,0.8727616364506985,0.9828690236162149,1.064777386355513,0.8544642163293662
7.0,0.13,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7260252124508493,0.5136408978532967,1.1261597469078675,0.8865571398406814,0.9984049642223446,1.0787942791801088,0.867970497426836
7.0,0.14,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7507117157993195,0.5136892337359522,1.1261597469078675,0.8993217597815065,1.0127799653842793,1.094195081110647,0.8804675075140747
7.0,0.15,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7782860372567102,0.5123550178454214,1.1261597469078675,0.9111137743529254,1.0260596575295624,1.1072436094701303,0.8920123028727339
7.0,0.16,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.8085430927098824,0.5098028482810109,1.1261597469078675,0.9220004199024463,1.0383197595262865,1.1190674077995226,0.9026707102424218
7.0,0.17,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.841268617350875,0.5062037109005596,1.1261597469078675,0.9320570068677554,1.0496450829578958,1.1336149951542598,0.9125164611798787
7.0,0.18,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.8762351702432725,0.5017313810580941,1.1261597469078675,0.9413660631559254,1.0601285674313325,1.1448682065871485,0.9216303533972144
