magnitude,location,style,percentile,model_name,mu,sigma,displ,normalized_displ
7.0,0.0,strike-slip,-1.0,elliptical,1.329699999999999,1.1348,0.07196433240389935,0.060830579173394066
7.0,0.01,strike-slip,-1.0,elliptical,1.987207598188796,1.1348,0.13888943864313166,0.1174015614611814
7.0,0.02,strike-slip,-1.0,elliptical,2.254847999999999,1.1348,0.18151142747070773,0.15342941274939675
7.0,0.03,strike-slip,-1.0,elliptical,2.4569744744222675,1.1348,0.22217049606778994,0.18779803132463493
7.0,0.04,strike-slip,-1.0,elliptical,2.624637449460783,1.1348,0.2627250537806455,0.22207830811436538
7.0,0.05,strike-slip,-1.0,elliptical,2.769923799935272,1.1348,0.30380754125040765,0.2568048375379042
7.0,0.06,strike-slip,-1.0,elliptical,2.8990605475912776,1.1348,0.34568610786062126,0.2922042830236629
7.0,0.07,strike-slip,-1.0,elliptical,3.015762514061681,1.1348,0.3884766740911404,0.32837463075023915
7.0,0.08,strike-slip,-1.0,elliptical,3.1224597197795347,1.1348,0.4322181046756715,0.36534873260664247
7.0,0.09,strike-slip,-1.0,elliptical,3.220846309241036,1.1348,0.47690481525065737,0.4031218681979473
7.0,0.1,strike-slip,-1.0,elliptical,3.3121599999999987,1.1348,0.5225029412418067,0.4416654122093792
7.0,0.11,strike-slip,-1.0,elliptical,3.397338091832319,1.1348,0.5689591874920628,0.48093431488972654
7.0,0.12,strike-slip,-1.0,elliptical,3.477110823420613,1.1348,0.6162060697552326,0.5208715326224662
7.0,0.13,strike-slip,-1.0,elliptical,3.552060355307841,1.1348,0.6641652362561935,0.5614108356004038
7.0,0.14,strike-slip,-1.0,elliptical,3.622659701280421,1.1348,0.7127497052648818,0.6024786992198847
7.0,0.15,strike-slip,-1.0,elliptical,3.6892993670748417,1.1348,0.7618654612577477,0.6439956532967523
7.0,0.16,strike-slip,-1.0,elliptical,3.7523061365925745,1.1348,0.8114126569766177,0.6858772981521567
7.0,0.17,strike-slip,-1.0,elliptical,3.8119566651263117,1.1348,0.8612865658274909,0.7280351096637283
7.0,0.18,strike-slip,-1.0,elliptical,3.8684875351482244,1.1348,0.9113783721080244,0.7703771072353088
7.0,0.19,strike-slip,-1.0,elliptical,3.9221028398834914,1.1348,0.9615758536584538,0.8128084308335102
7.0,0.2,strike-slip,-1.0,elliptical,3.9729799999999997,1.1348,1.0117639918283654,0.8552318565852458
7.0,0.21,strike-slip,-1.0,elliptical,4.021274292327075,1.1348,1.0618255314701033,0.8975482701333792
7.0,0.22,strike-slip,-1.0,elliptical,4.067122423080514,1.1348,1.1116415059248974,0.9396571104011441
7.0,0.23,strike-slip,-1.0,elliptical,4.110645381017756,1.1348,1.1610917369205744,0.9814567921496288
7.0,0.24,strike-slip,-1.0,elliptical,4.151950740202931,1.1348,1.210055315937853,1.0228451128708798
7.0,0.25,strike-slip,-1.0,elliptical,4.191134536644164,1.1348,1.258411071318689,1.0637196476289321
7.0,0.26,strike-slip,-1.0,elliptical,4.228282811129603,1.1348,1.3060380238126923,1.1039781341276822
7.0,0.27,strike-slip,-1.0,elliptical,4.2634728877682395,1.1348,1.3528158321517254,1.1435188493497026
7.0,0.28,strike-slip,-1.0,elliptical,4.296774441193547,1.1348,1.398625229458026,1.1822409784467467
7.0,0.29,strike-slip,-1.0,elliptical,4.328250393226032,1.1348,1.4433484507294523,1.220044976087852
7.0,0.3,strike-slip,-1.0,elliptical,4.357957670740717,1.1348,1.4868696512407882,1.2568329201288992
7.0,0.31,strike-slip,-1.0,elliptical,4.385947849673844,1.1348,1.5290753154085468,1.292508857221083
7.0,0.32,strike-slip,-1.0,elliptical,4.412267704921337,1.1348,1.5698546554577888,1.3269791397991475
7.0,0.33,strike-slip,-1.0,elliptical,4.436959681900435,1.1348,1.609099999081808,1.3601527537654268
7.0,0.34,strike-slip,-1.0,elliptical,4.460062302458933,1.1348,1.6467071651844245,1.3919416361002575
7.0,0.35000000000000003,strike-slip,-1.0,elliptical,4.48161051540173,1.1348,1.6825758267289956,1.422260981573856
7.0,0.36,strike-slip,-1.0,elliptical,4.5016359999999995,1.1348,1.716609859680773,1.4510295377030702
7.0,0.37,strike-slip,-1.0,elliptical,4.520167429334453,1.1348,1.7487176770137014,1.4781698870832825
7.0,0.38,strike-slip,-1.0,elliptical,4.537230699111701,1.1348,1.7788125467552707,1.5036087162278757
7.0,0.39,strike-slip,-1.0,elliptical,4.552849126614529,1.1348,1.8068128930602574,1.5272770700622214
7.0,0.4,strike-slip,-1.0,elliptical,4.5670436236519585,1.1348,1.8326425793335936,1.5491105912440142
7.0,0.41000000000000003,strike-slip,-1.0,elliptical,4.579832846724267,1.1348,1.8562311724622882,1.5690497435153175
7.0,0.42,strike-slip,-1.0,elliptical,4.5912333270816035,1.1348,1.8775141872647438,1.587040018332612
7.0,0.43,strike-slip,-1.0,elliptical,4.601259582909044,1.1348,1.8964333103217346,1.6030321240684127
7.0,0.44,strike-slip,-1.0,elliptical,4.60992421549747,1.1348,1.9129366024155987,1.6169821571306668
7.0,0.45,strike-slip,-1.0,elliptical,4.617237990943982,1.1348,1.9269786788720487,1.6288517544035048
7.0,0.46,strike-slip,-1.0,elliptical,4.623209908656111,1.1348,1.9385208671714989,1.638608226474187
7.0,0.47000000000000003,strike-slip,-1.0,elliptical,4.627847257701511,1.1348,1.9475313412735824,1.646224671175992
7.0,0.48,strike-slip,-1.0,elliptical,4.6311556618413015,1.1348,1.9539852321783429,1.6516800670442542
7.0,0.49,strike-slip,-1.0,elliptical,4.633139113904779,1.1348,1.9578647143307015,1.6549593463530141
7.0,0.5,strike-slip,-1.0,elliptical,4.633799999999999,1.1348,1.9591590675596393,1.6560534474714588
7.0,0.51,strike-slip,-1.0,elliptical,4.633139113904779,1.1348,1.9578647143307015,1.6549593463530141
7.0,0.52,strike-slip,-1.0,elliptical,4.6311556618413015,1.1348,1.9539852321783429,1.6516800670442542
7.0,0.53,strike-slip,-1.0,elliptical,4.627847257701511,1.1348,1.9475313412735824,1.646224671175992
7.0,0.54,strike-slip,-1.0,elliptical,4.623209908656111,1.1348,1.9385208671714989,1.638608226474187
7.0,0.55,strike-slip,-1.0,elliptical,4.617237990943982,1.1348,1.9269786788720487,1.6288517544035048
7.0,0.56,strike-slip,-1.0,elliptical,4.60992421549747,1.1348,1.9129366024155987,1.6169821571306668
7.0,0.5700000000000001,strike-slip,-1.0,elliptical,4.601259582909043,1.1348,1.896433310321731,1.6030321240684096
7.0,0.58,strike-slip,-1.0,elliptical,4.5912333270816035,1.1348,1.8775141872647438,1.587040018332612
7.0,0.59,strike-slip,-1.0,elliptical,4.579832846724267,1.1348,1.8562311724622882,1.5690497435153175
7.0,0.6,strike-slip,-1.0,elliptical,4.5670436236519585,1.1348,1.8326425793335936,1.5491105912440142
